Question,Expected Answer,Chatbot Answer,BERT Score,ROUGE Score,Semantic Similarity
What is an accessory organ?,A lump of tissue adjacent to an organ that is similar but serves no important purpose.,"An accessory organ is a lump of tissue adjacent to an organ that is similar to it but serves no important purpose if functional at all. In the case of acupuncture, they are located along the body's meridians.",0.8851931095123291,0.5818181818181819,0.5334643
Can an accessory organ become harmful?,"Yes, if it grows too large or becomes cancerous.","Yes, an accessory organ can become harmful if it grows too large or becomes cancerous.",0.9245890378952026,0.7499999999999999,0.5944978
What does 'benign' mean in medical terms?,"It describes an abnormal growth that is stable, treatable, and generally not life-threatening.","Benign means that the abnormal growth is stable, treatable, and generally not life-threatening.",0.9518647789955139,0.7142857142857143,0.81365
What is a biopsy?,The surgical removal and analysis of a tissue sample for diagnostic purposes.,A biopsy is a procedure in which a small piece of body tissue is removed and examined under a microscope for cancer or other disease.,0.782853901386261,0.21621621621621623,0.60145247
What is a calculus in medical terms?,"A hard concretion (stone) in the body, usually found in the gallbladder, pancreas, or kidneys.","In medical terms, a calculus refers to any type of hard concretion found in the body, usually in the gallbladder, pancreas, or kidneys. Calculi are formed by the accumulation of excess mineral salts and other organic material, such as blood or mucous.

So, the term ""calculus"" in medical terms refers to any abnormality or hardening in one of these organs, which can cause symptoms like pain, nausea, or difficulty with urination.",0.836806058883667,0.3023255813953489,0.34826022
How do calculi form?,They form by the accumulation of excess mineral salts and other organic materials.,"Calculi, whether they be found in the gallbladder, pancreas, or kidneys, are formed through a process called mineralization. This is a normal process that occurs within these organs and it involves the accumulation of excess mineral salts in the tissues of these organs. The minerals come from the bloodstream and are deposited in the tissues, where they form calculi or stones.",0.7982499599456787,0.24324324324324326,0.4833214
What is cirrhosis?,A chronic liver disease characterized by abnormal fibrous growths and reduced liver function.,"Cirrhosis is a condition caused by cirrhosis of the liver, characterized by impaired or reversed blood flow from the portal vein to the liver, an enlarged spleen, and dilated veins in the esophagus and stomach.
It is associated with portal hypertension and the possible complications involved, such as portal vein thrombosis, embolism, and the risk of developing cirrhosis.",0.7894470691680908,0.14084507042253522,0.5089903
What are common causes of cirrhosis?,"Alcoholism, metabolic diseases, syphilis, and congestive heart disease.","Cirrhosis is caused by various factors, including alcoholism, metabolic diseases, syphilis, congestive heart disease, polycythemia rubra vera, sickle cell disease, and liver cancer.",0.8802786469459534,0.4516129032258065,0.48154962
What is the function of the common bile duct?,It transports bile from the liver and gallbladder to the small intestine.,The common bile duct serves as a passageway for the bile to leave the liver and enter the small intestine.,0.8769397139549255,0.4375,0.74023706
What is a CT scan?,A specialized x-ray imaging technique that produces detailed two-dimensional images of soft tissues.,"A CT scan, also known as a computerized tomography scan, is a medical imaging test that uses X-rays to produce detailed cross-sectional images of the body.",0.8445451259613037,0.32558139534883723,0.4535482
Why are CT scans used?,"To provide detailed imaging of soft tissues, especially the brain.","CT scans are used to diagnose AIDS-related cancers, some opportunistic infections, damage to the central nervous system, and wasting of the muscles.",0.7787625193595886,0.18181818181818182,0.40690196
What is the Doppler effect?,The change in frequency of sound wave echoes from a moving object.,"The Doppler effect refers to the apparent change in frequency of sound wave echoes returning to a stationary source from a moving target, which can be used to compute the object's speed—be it a car on the road or blood in an artery.",0.8456383347511292,0.4210526315789474,0.5593074
How does the Doppler effect apply in medicine?,It helps measure blood flow in arteries and veins.,"The Doppler effect can be used to assess blood flow in vessels, particularly in the brain, by using ultrasound imaging to measure changes in frequency of sound waves due to the movement of red blood cells.",0.8315933346748352,0.13333333333333333,0.56585145
What is sound frequency?,The number of vibrations per second of a sound wave.,Sound frequency is the number of vibrations per second.,0.9025413393974304,0.631578947368421,0.83840203
How does frequency affect sound?,Higher frequency results in a higher pitch.,"Frequency has a direct effect on sound's pitch. The higher the frequency, the higher the pitch of the sound.",0.8266892433166504,0.29629629629629634,0.7983625
